.1.3.6.1.2.1.1.1.0 Hardware: Intel64 Family 6 Model 85 Stepping 4 AT/AT COMPATIBLE - Software: Windows Version 6.3 (Build 14393 Multiprocessor Free)
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.311.1.1.3.1.2
.1.3.6.1.2.1.2.2.1.4.32 1500
.1.3.6.1.2.1.2.2.1.5.1 1073741824
.1.3.6.1.2.1.2.2.1.5.2 0
.1.3.6.1.2.1.2.2.1.5.3 0
.1.3.6.1.2.1.2.2.1.5.4 0
.1.3.6.1.2.1.2.2.1.5.5 0
.1.3.6.1.2.1.2.2.1.5.6 0
.1.3.6.1.2.1.2.2.1.5.7 1000000000
.1.3.6.1.2.1.2.2.1.5.8 0
.1.3.6.1.2.1.2.2.1.5.9 0
.1.3.6.1.2.1.2.2.1.5.10 1000000000
.1.3.6.1.2.1.2.2.1.5.11 0
.1.3.6.1.2.1.2.2.1.5.12 0
.1.3.6.1.2.1.2.2.1.5.13 0
.1.3.6.1.2.1.2.2.1.5.14 0
.1.3.6.1.2.1.2.2.1.5.15 0
.1.3.6.1.2.1.2.2.1.5.16 1000000000
.1.3.6.1.2.1.2.2.1.5.17 1000000000
.1.3.6.1.2.1.2.2.1.5.18 1000000000
.1.3.6.1.2.1.2.2.1.5.19 1000000000
.1.3.6.1.2.1.2.2.1.5.20 1000000000
.1.3.6.1.2.1.2.2.1.5.21 1000000000
.1.3.6.1.2.1.2.2.1.5.22 0
.1.3.6.1.2.1.2.2.1.5.23 1000000000
.1.3.6.1.2.1.2.2.1.5.24 0
.1.3.6.1.2.1.2.2.1.5.25 1000000000
.1.3.6.1.2.1.2.2.1.5.26 1000000000
.1.3.6.1.2.1.2.2.1.5.27 1000000000
.1.3.6.1.2.1.2.2.1.5.28 0
.1.3.6.1.2.1.2.2.1.5.29 1000000000
.1.3.6.1.2.1.2.2.1.5.30 0
.1.3.6.1.2.1.2.2.1.5.31 1000000000
.1.3.6.1.2.1.2.2.1.5.32 1000000000
.1.3.6.1.2.1.2.2.1.6.1
.1.3.6.1.2.1.2.2.1.6.2
.1.3.6.1.2.1.2.2.1.6.3
.1.3.6.1.2.1.2.2.1.6.4
.1.3.6.1.2.1.2.2.1.6.5
.1.3.6.1.2.1.2.2.1.6.6 "00 00 00 00 00 00 00 E0 "
.1.3.6.1.2.1.2.2.1.6.7 "80 30 E0 3B 97 05 "
.1.3.6.1.2.1.2.2.1.6.8
.1.3.6.1.2.1.2.2.1.6.9 "80 30 E0 3B 97 06 "
.1.3.6.1.2.1.2.2.1.6.10 "80 30 E0 3B 97 07 "
.1.3.6.1.2.1.2.2.1.6.11
.1.3.6.1.2.1.2.2.1.6.12
.1.3.6.1.2.1.2.2.1.6.13
.1.3.6.1.2.1.2.2.1.6.14
